index,level,title,md5,easy,hard,AAA,easy discrimination,hard discrimination,AAA discrimination
14,sl0,Summer White [DP ANOTHER],030056b702515b5f64d6b557513293a0,14.000091489966756,25.46996685581633,14.8675468192666,0.21314457504612677,0.10444046251025557,0.33756420918552765
15,★7,恋わずらい -shiny party floor-,030a9c1f00082a5d63a451783e8b662e,37.11678897879794,57.39678308449364,53.52367623421093,0.15899815192736474,0.3125794490700889,0.3313861651571489
16,sl0,Cutter [DP ANOTHER],032f2470cdd02273a64a0aaa24d9a07f,0.0,27.52195470872708,12.78960251385285,0.2256144203377918,0.06989405922075057,0.22464736965005588
17,sl7,アトロポスと最果の探求者 [DP sub black another],0335197a43d3a8aa66d06079c5112f96,38.43884207162273,56.21867606087957,43.47197377761613,0.14086503874043313,0.2939402418561862,0.21919121725239304
18,★11,BBBLOW (EX14),0336fef6ffbc308a99b6b9db7d0539ed,56.945406137108094,69.63108428913648,71.21490567975385,0.15815936106755601,0.2636230472540673,0.2629045783898136
19,★★5,CLOCKTOWER (Abraj Al Bait Towers),03c2d647ba044238e256bc6e53927f38,64.9626536573151,73.4068076896894,54.56998448893479,0.2018656201336859,0.25490596365053514,0.4076358046772279
20,sl12,::AbnormalityPurificator:: [DP INSANE],03ee34febbb179b1ebc15cf0de53b803,57.68320399201278,71.57801556583748,69.85758569734023,0.14675131901895533,0.3941951602892209,0.40699222297233234
21,★3,午後のこいしちゃん [DP ⌒ワ⌒],04444711afe3b0776835b23f4d4bf2eb,28.29536477145708,37.42592907035158,19.481627808331154,0.2179644548375868,0.16905524595242802,0.264466469972324
22,sl6,GIFT [14key Another],04a0afae2e165a4676c777d9bb9b55db,36.37766030251221,54.2063076712328,45.28999525320806,0.13374358777215117,0.32731149928014935,0.26444528071219653
23,★2,Re/Im [DP M-Another],04bd108676a4d74c9667f1d46c598771,22.41761852558344,37.45807363860418,27.489873361202942,0.16513770565971986,0.2482010040040128,0.2845498257240653
24,★★8,図書室のエルザ (litmus* Remix) [DP ALL KEY],04e242d7bf118156285d8270eff7c2cd,71.1881181469263,88.49799585384886,79.00772720985398,0.13005675006024547,0.28382112868531506,0.39418228827436175
25,★7,Air ANOTHER,052d61fdf07cd9b0562c481f93b60aa2,40.67279342702057,53.23860936369599,56.6884661536313,0.15585508618254423,0.24090783417773978,0.30893339304788847
26,sl9,TEN -Q-,053a9df4c39af51f5437b7377101a0e6,42.204998078761456,60.15063896538851,55.26510765690801,0.14916276692176747,0.2522516919170149,0.266195556770786
27,sl4,藍より青い憧憬,058922a838838d529da9766a2f683b84,27.77594936694251,41.79174754518522,13.695457092028748,0.24231871722561502,0.09918735674298577,0.4504838441302348
28,★★10,Wizdomiot [Withdammit],05ad2a77b4a02201bf8b7a2fef83bb5c,80.76404516791581,88.75567161521535,97.217986806489,0.3231363408353557,0.3159994818819135,0.3380310424469634
29,★★99,歪んだ樹 -和尚を超えし者-,05bb9025d815eef7a971bb1656381218,97.8859467680942,97.8859467680942,97.10620213333746,0.25105643918754406,0.25105643918754406,0.3312894685483881
30,★9,ハイ色乞語リ [DP CHALLENGER],05d569d03ea95e757d512cf19ba3507d,40.30244075792257,61.24303755770679,48.98327489106179,0.11949594076972804,0.2832198323911518,0.3083106049539239
31,★★99,玉の緒よ (双永呪),06035b002baf207599b7eb48f76e14b4,65.79792581916203,88.3658173187215,95.24431551827024,0.111583094878609,0.2585111964654435,0.3138391978886325
32,★?,rainy beauty DENIM,06102db64b3404039898e21b59196e7f,54.67769828036933,68.6411305212486,60.3106776730728,0.10781872462946016,0.14953687016167527,0.2669653206018117
33,★7,BiBiRi [Heartbeat],065d1040777adf6c0f217bc4ff2cb6cd,32.08041674853856,54.62214169693393,47.46614257381492,0.14014901149972725,0.271777652217801,0.3389262058501153
34,★2,First Creation [ANOTHER],0679dc2738135b8584327e7440aa6046,26.00741680164369,37.7859092222312,37.04749698694526,0.2015667777989657,0.22421524701762008,0.31446183897908975
35,sl3,現実をカットアップしてみた [DPA.NOTHER+],069810a738deb692f8a9044f80a8502b,26.348574992039488,40.942470705719934,36.38534364326885,0.09877404001187369,0.15064440162122675,0.22999881909227082
36,★10,Demystify Feast [DP NORMAL],06aaaecc446ab49377e67a205be253a2,52.17358115935225,65.82709239382851,59.68245375089189,0.1071253583584812,0.26237108576422463,0.36006482259583394
37,★2,オリオンの歌 [DP Another],06cbd0de3a90da1bb5a24b3197880154,25.230076384250104,38.87388519812842,35.943646150499546,0.10180927565203468,0.14472488182695134,0.2557055645017842
38,★3,Flesvelka ANOTHER,06df9f0b605ddc60bb4b996307ab6bbb,30.124021334268196,41.202402662619264,40.35925545376935,0.15640174913095875,0.22857391026020518,0.31273237522372216
39,★7,ROCKET KID [DP ε=>■>],06f45c43624c1d6fc5b5d2aa49368566,39.46782811912382,55.325912964446985,50.58080579437484,0.1711862029911511,0.2511078932111621,0.2530010053547194
40,★★2,FATAL ERROR [notice 14],06f86a760906b01757ea5a2e88d5fbf5,57.61106277418729,78.33347465987985,70.70471033978279,0.13142771468125372,0.29130702005034953,0.3885342229424762
41,★7,彼岸帰航 -idling mix-,07979e06ec8e3a2b08dc5df8f1d39efe,30.67280748498613,52.75110577334589,57.83227726675941,0.1441118691695113,0.2597344443764937,0.2871933702175221
42,★5,G e n g a o z o _ D P A,07e6ffc2a5c958474927bd8d937384e3,31.462370778639954,48.09478146580063,51.78057559092004,0.13714602659203368,0.22548610604351038,0.2858364138502919
43,★★1,平衡世界 Parallel World [White Eternity],07ea69b9a864dac1a7e0535e28adccbc,53.990093614360624,69.48007285984002,69.10247639241322,0.15957213409323162,0.27830882621642383,0.34105154752098465
44,★★8,Bird Sprite [DP Spiritual],0858a9a5ced84e08ad0444baa3cee717,80.08857122586191,83.4840178966645,79.01955080957907,0.34175212749341427,0.334082804994589,0.4258431736270336
45,★5,"Red-rize ""B172 mix"" // 14keys",085de50d52e924d5387c477b789368d1,30.35695534467317,48.05673406077481,40.58398771367574,0.14272405900545465,0.2432302642605974,0.3453964811802661
46,★★1,飛燕草 [DP hututher],0876eb1d0cb0e0cdd774596103885fd1,49.34215359881132,64.12502077955088,58.963092791014375,0.12838196268077745,0.2600702171479097,0.323075074694442
47,sl8,Tartaros　 -12m-,08e62a99f61826c978b45ec93c490dbf,45.0935304633056,56.65317797762927,45.59481994448607,0.1555098121674253,0.2943769043594069,0.3611149881507118
48,sl9,Mario Paint (Time Regression Mix for BMS) -4つ同時押し-,091001b3a2865a7c463f882de5377679,45.63429977301397,60.14303901614717,28.7837562553472,0.09205333308353085,0.21215843874655857,0.14435663508091992
49,sl4,Leviathan [Double],09170a7abead9fcb7fed236527017ad6,26.4419089274212,42.60491932822122,33.63286171491984,0.16282468400338415,0.14399590106184204,0.23144465013261756
50,sl6,PPBQ,0927a8e429d04fb821bd166947c8bcd1,34.39870568990481,54.6693360095823,52.54728115587948,0.14663003491761548,0.302952799549094,0.3284604144839644
51,★★7,?環の理 [dpkey],092aa3e55d78c2c36eae96cdc058fd62,73.95581787863803,83.14936267720124,65.4565817553589,0.20708989656049648,0.3027988615172206,0.40842581814665285
52,★5,Misty DASH ! [14KEYS ANOTHER],09b31ac3a66695cc42732c5bf0c3255c,33.206063572018294,46.74746950821162,47.20183099925223,0.1533156176145886,0.24281950529628157,0.30787353051002186
53,sl5,Granblaze [DP ANOTHER],09d1c8ce11ca00865862fd4a94d00250,29.84082481508652,48.309800444430174,49.02039585648232,0.09228396496413063,0.14506783329793926,0.3254160136254559
54,sl8,Evanescent [DP ANOTHER],09ddc29dfc8ac70ceba82c7755efd84f,40.48065556069099,58.51120517926468,56.80892253077236,0.0951770081904073,0.2939221358892793,0.3182027609153826
55,★1,Act Beloved [DP LOVEPLUS+],09f1502420f2065b6ba9865a8623a467,15.41018610468126,30.08910797806489,21.818684505776364,0.1505856195286925,0.18208268517359222,0.2710527276905916
56,sl5,Armillary Sphere,0a093471012b7ace35d8ebb1ff6ed1cb,31.97332084517863,50.06159516511748,20.848510481247764,0.14634837766166003,0.15552041073852402,0.2390021236809508
57,★6,KISS CANDY FLAVOR (DOUBLE PLAY FERVOR),0a410d70ef7b87377fa6e8e447c9e6b6,30.856367260869096,45.97076286856804,40.14252618560782,0.1964733191630171,0.23080716479818733,0.3297719291037344
58,sl0,Forgot Ya [LEGGENDARIA],0a5033e3081589ffd65a6293f6421b14,10.459194366599109,25.850449148257976,19.236839993215813,0.2554322931051048,0.09401105779606889,0.2050968421597748
59,sl4,reflective moment [refraction],0a5912c88b7801f3baece252ff2266af,18.090908873784358,41.80451637544924,52.118335163858575,0.21715852512105804,0.3704444227517804,0.3766040678188973
60,sl3,Fading Star [Sparkling],0a7873bc384c10c0c88f5059efb04ec6,24.64364261188093,41.66431581322376,34.94510591793672,0.24675179391144383,0.3191324537501019,0.1342994142531552
61,★8,Eternally [14REAL],0a7faa71a4d9d17be6ecf9a16fb66dd8,41.25172533661453,55.99275919243465,60.77906492951919,0.1548368341157502,0.2656723605395118,0.30346531959199974
62,★★3,桜花撩乱 [DP INSANE],0a96201faf16d73b0b9981fbf28496d6,63.75632967944141,71.192684336312,59.5481608120318,0.21765870392805048,0.31171051279139467,0.3009548627548206
63,sl6,8bit Voyager [DPBF],0ac8c71c69c6f6d4305b967b07f1c217,27.850334086595847,52.42638772776439,47.62592925028965,0.10394951993121046,0.285025094104655,0.3315495444859855
64,★9,悲伽羅香「水蓮」〜花弁〜 [難14],0b09fa8f907b995f255be1259fbcb2a5,42.50144750546773,58.81975366225913,50.27647171457891,0.15515908028068875,0.24404875166490964,0.2808125551631091
65,★★5,WHIRLWIND [Twin Blast],0b1234798d2da9bbde81c1eaf6111005,61.47887398958651,74.06298343429258,69.26088152472768,0.2142463933449787,0.25834224748767753,0.4098514566066851
66,★1,Crystalized [DP ANOTHER],0b6e9b3ad6bdb344c58958d046156c9b,17.31457452645822,31.58789759511007,23.76722270967931,0.21709692584996015,0.24758096978378957,0.30974304496424276
67,★★3,闘気に満ちた草原 (dpkey),0b87c2721a24decadf650078f5b611c7,58.32316783088669,80.10327638004097,79.59819905728394,0.22016503913683727,0.27651665878784165,0.3438033549954941
68,★★9,Ascension to Heaven [Collapse],0b8d3eb005fc831fb404b7f336531665,80.95020515549912,88.69002588721473,74.72704776916478,0.32895004433293273,0.3035462072631531,0.22649080269615487
69,★★8,"織姫(Independent from God, Everlasting love remix) [DP 駆逐ロ級flagship]",0b97609f0cccc37ecb14bc60e2a0c285,88.52668920071872,88.52668920071872,95.0331836752737,0.2897289665951164,0.2897289665951164,0.3330147707780124
70,sl11,Sweet Little Chocolate [DP-soijoy],0ba6de050ce06847b737564948b61654,47.81745209768211,64.44262217787492,48.771795462368345,0.24363217599737808,0.2306363686438187,0.42794331261082663
71,sl6,Hi-Fi-Story [DP ANOTHER],0bafbf864710b9c6fbc3c77349383f41,25.239538149222987,50.55838932085481,53.98781776555381,0.1357408402108388,0.1849236178499699,0.2576952298370207
72,★★2,insincere smiles （あ！),0bcc42a94ba9cccfec6b577d4e7ca6f6,53.07741951895032,71.77453425176938,70.27551872215932,0.144367661462264,0.28820970339733704,0.28873525274660855
73,★6,The Azure Box [DP Maniac],0bdf5cfde10dfd51fa8e23b232a0e631,27.500557913502465,43.08803920449928,46.09526073780226,0.17432275847506482,0.20198230492016378,0.3001068335572094
74,★★8,High-Priestess [OVERKILL],0c2d6be5ae8b45d60c4fb3cf56a576ac,84.26089879214861,88.25806600055657,93.43828491943913,0.2219942479631087,0.26898375301498834,0.31822233817692536
75,sl9,CYCLONE,0c38eafa5cf3a4440832242fd1bd2ef7,43.283373037579786,57.790679512398334,60.68980852871872,0.11903641021821125,0.2634525790747542,0.26383346764506843
76,sl5,reverieland [DPYoither],0c5f9d1948d964fb20696261f632a199,28.17732633159885,44.16127026558334,34.33241640431663,0.24185531463441967,0.14773386775456632,0.3013812940457587
77,★8,Brain Analysis [14KEYS ANOTHER],0c73787ea3d146c6dd41577862c802a1,40.67316982003763,60.02728033170492,73.94501777113936,0.09537554545834681,0.22181548744022384,0.25916772275941513
78,★★10,"It's ""alice"" dream [6 A.M.]",0c7556cf95085a7c4d82335ca4690784,81.92337655299993,83.24469052044171,97.96764281769045,0.30394773526422225,0.37074259230404877,0.3412468797150608
79,sl10,異説彼岸花 第二 -終世のリコリス- [DP INSANE],0c828e4a9805195c688972d2d58b89ad,49.62215354497204,61.279185672309474,51.84361761343524,0.10911866544722909,0.2461761289869323,0.32249185175319683
80,★★5,osmosis [DP FingerDance],0c89632e286f70f8cbc47487fa023fc4,59.740048682843,73.62233984752547,64.47964464227582,0.2436359593174711,0.27120551343016497,0.3486132016819989
81,★12,AutumnBreeze [DP えぬTHER+],0c933c11ffdf881c10d51d46b418a099,54.734359194687926,73.44985456532318,75.12974191402807,0.10127111477620812,0.26107150917519995,0.29229151493849254
82,★★1,beyond the limit -uranus-,0c9e0b649ffa4a5504f33e9065ff3c90,48.16889188832107,67.3036371753319,60.27496962910132,0.11480632828194719,0.3134900178348723,0.2688365611736347
83,★★1,rainy beauty [Peggle14],0cc1976901c61df43d6e8f3999cdf995,49.43865606919161,59.37378649060049,50.78255768374904,0.14410109336548585,0.21860328930937648,0.2898179573936403
84,sl1,未来のコピヌ [DP ANOTHER],0cd0f1fd400d046f27423c3ceb750d5c,14.60427318708558,26.947591663153656,27.95768685886082,0.2603661213427888,0.24238102879565648,0.43371120584894
85,★7,Central Nucleus [DP INSANE],0d0d9db6e6a6a9e2c5cbbefe15a9c6b0,36.80860682685146,53.35972065407735,53.11137673110797,0.16171869295821437,0.2766048236115485,0.315269310703864
86,★11,歪んだ神,0d28c2625be1262834f192b93f0ad425,57.88782747850537,68.37983127298473,65.1041075808904,0.17020665012023184,0.27126705610483287,0.28798441607614617
87,sl0,LOVE [DP Another LOVE],0dd86631a775185e6c5a51d1a4d85fb8,11.816447987698831,20.26772639563711,10.818584623619843,0.1501441526975522,0.06547642809931417,0.29048350851924665
88,sl10,H.S : Hadron Strike [DP ANOTHER],0e05593e0b01c2fa57281cc42c22cdb0,48.82864186765263,62.81467673618415,61.78257894062168,0.12786931084684539,0.2683505425218261,0.3103134619278068
89,★★2,elegaNte [DP えぬTHER+],0e6f8c9d52d1a0563cc690b67aba90af,53.13859249452776,68.14701180193363,55.04805830952136,0.15862592944520115,0.2829399250210764,0.29237169348081243
90,★5,Habe'n Aria [Another],0eaea1081814888652ccebff70c0e43d,25.358250597828462,45.54563623514302,45.0837361454897,0.2331332174502646,0.2332691523437231,0.2908564217485427
91,★6,intertwined -DP ANOTHER-,0eaefbf03c25ce154c418912e786789a,35.214959851226084,47.9993006007257,55.05852547630517,0.19392349215429125,0.23322403030939512,0.2854604151184248
92,★8,"ピアノ協奏曲第１番""蠍火""（なんでも吸い込むピンク色のための） [本家]",0ecd2b46afbb1a3f853a7211f9bfbb91,35.0327071894671,58.527152399114485,53.47382814490569,0.11045584615327243,0.25940188554758725,0.28625031279506347
93,★3,Is This Your Memory? [Insane],0ed3cf04dd716879b4ec4ef50aff2cd0,25.67097078606467,40.54611795164323,25.48565999678176,0.18089653133517758,0.25685200502009453,0.28347569879579715
94,★★5,Vacant Between You and Me[EX14]†leggendaria,0edda203dc90a9f7af469d57293a8cd6,61.08616913685205,80.25467136546344,73.14091147693942,0.2269318427850365,0.292048333893767,0.3824450076325941
95,sl1,Twilight Galaxy [DP ANOTHER],0f02f3d09fa7218c97d49358b50539e7,12.514966071366189,33.29349637625309,31.76852618814849,0.08002516436105697,0.10420669798591245,0.1849885603288711
96,sl3,Mysticeti,0f120c8076af344310b2c59df8c7d69f,25.773318267511268,40.75686314116159,49.08404986219469,0.24642419189201373,0.17807573454978198,0.30422571573312246
97,★2,桜花撩乱 [DP HYPER],0f6d2c3bd19fd3190309607ff38edfa4,26.519836520950943,36.09152263202907,23.956010727389,0.16207440231951445,0.17941196007079768,0.2824989296247864
98,★8,Air (EX14),0fa0e9b8cbd12261b158c0a838d10ff6,39.64006047516051,55.21113016324175,56.63095180296328,0.16249977836786925,0.2583747753761889,0.29769786678410215
99,sl8,Where To Feel [激鍵14],0fe0b055eb07f9feba4f9f26d8b725c7,38.64579093483272,59.24081139087152,68.23888608062627,0.09358033771742912,0.2933268795593745,0.311603370096798
100,★★1,world devoid of you (fairydust radio edit // DP Another),10055140817a17f974ca2066c886ddde,50.60216507864312,67.72279626718918,53.72728288386792,0.10936358037349357,0.26571110395530384,0.2800940802668233
101,★★5,Phantom Whisper [D97%],100cca8bdb1f0a5fa4ca475ed3c19b55,67.29862233625317,77.3430657735426,61.40441025057419,0.1895806458749085,0.30435177989832896,0.23418168061564223
102,sl10,Life is PIANO [DP INS☆NE],101c37c44d865b61b391fae7614eaaea,50.54612919674736,64.34972104781168,63.62197235351957,0.11996203315484802,0.2112966353297018,0.3698858372423855
103,sl4,searoad tracks =side blue= [DP MANIAC],103f559a7cecad6789109a21296d2371,27.82942489139656,42.48258936742864,42.244272060635474,0.20673346890741898,0.22861241429521972,0.34390800253168335
104,★★4,夜がずり落ちてくる [CH14],11058833439c6150f7681cebe206694e,54.99959469919452,75.75095650122309,76.41184635204752,0.1572846322144188,0.3429803235222976,0.3285886265755182
105,段位,GENOSIDE 2018 DP段位認定 Overjoy,11077,85.55616462316267,94.69396133658432,93.13895931805786,0.06168056118873495,0.2279320759739026,0.29793228189033916
106,段位,GENOSIDE 2018 DP段位認定 発狂皆伝,11078,64.83792972349808,83.5853322872692,78.31432748209052,0.07282521602409761,0.27073143225399116,0.17374250757090628
107,段位,GENOSIDE 2018 DP段位認定 発狂十段,11079,58.93936259224508,76.52958062628882,71.02776039834835,0.0982465375789633,0.27774510220965487,0.2390114551903929
108,段位,GENOSIDE 2018 DP段位認定 発狂九段,11080,52.08952835490243,70.4314620801379,64.77455439467622,0.11196159726972589,0.2488079982280913,0.2684413961523039
109,段位,GENOSIDE 2018 DP段位認定 発狂八段,11081,48.82519506618873,67.76390979221397,60.51384039820475,0.12108798389231737,0.24391499808940623,0.21487442582274152
110,段位,GENOSIDE 2018 DP段位認定 発狂七段,11082,39.37357278167743,64.73008752069859,59.318298932605735,0.10128506134620212,0.16694797704498554,0.23044978210702488
111,段位,GENOSIDE 2018 DP段位認定 発狂六段,11083,36.57092626129287,63.790224718999525,56.10540216872096,0.08024144588787037,0.17199152202760243,0.27832953938130023
112,段位,GENOSIDE 2018 DP段位認定 発狂五段,11084,42.38382549092657,61.77946561264041,56.51497138960742,0.08904190771957837,0.19204060793121389,0.281859716239153
113,段位,GENOSIDE 2018 DP段位認定 発狂四段,11085,32.46665187629229,56.87135717688288,50.76891695196223,0.10341567171130826,0.16245430911152403,0.2531521809079504
114,段位,GENOSIDE 2018 DP段位認定 発狂三段,11086,28.39554785216394,55.037374968057215,49.78796400261305,0.10692736307011444,0.13900038237317777,0.22991392728083887
115,段位,GENOSIDE 2018 DP段位認定 発狂二段,11087,30.722052839287283,51.8185408464117,45.933110290776064,0.10873258160465196,0.1302491706221323,0.22218727873423608
116,段位,GENOSIDE 2018 DP段位認定 発狂初段,11088,24.01027761234302,48.42828911079047,37.68338450924836,0.12044951614182658,0.10964871408016684,0.2157711015194258
117,★10,Blue-White Crazybits [ANOTHER],11153231a9a4775c188edc9aa72e741a,47.74291154421567,60.47386221976624,52.096221184350206,0.14571907466686151,0.224583188350194,0.23326137321446092
118,★2,e.f. (Another14),114a29ffb21531d9d87c8c132a7a72ab,23.599489197612296,42.18883966347787,35.54609778538191,0.1262696680587827,0.23499971299353817,0.304251400535884
119,★★7,Judah [あ！],11504998ea5fd2753317b67e4c6be3f8,72.8556836455758,80.20776083620218,77.1607165995778,0.22068960473033677,0.2169519895182213,0.2656330483351711
120,★9,Time files [ANOTHER14],115b8d801e40aab090ebf3b7c6671553,46.60703087427591,63.5719100648974,68.39059606688845,0.138883293366678,0.2511702000771757,0.2767442530476893
121,★★2,winged dolphin [giman],11760070db0e34e89d4e91542f143a31,54.02491454349088,72.0185192161297,73.15159701089753,0.20760006639695164,0.28866674662699826,0.3741633372659149
122,sl6,DESPERATE [DP ANOTHER],11c50f76c098e858c2b61e04db177ecc,35.110230961632354,51.49526931642738,52.94783410050542,0.13353170705462022,0.20893130106472227,0.33836351646392193
123,★10,Caelumize [DP Customize],11ea77e96ba9a1a61447cd35ccecdb77,51.57225473460094,61.989017424807855,53.75059754805854,0.15468685535104107,0.30272645745071364,0.3362073296602292
124,★★9,Bicolor Spirit [陰],124311c43a9407f57ab65e3b7bf7cb91,80.08359286378936,83.49239063712612,84.18976475718972,0.2980640470354092,0.3462929320511773,0.379051651079203
125,段位,DPSatellite Skill Analyzer sl0,12674,11.83334789430504,52.6937260829294,22.04780210428732,0.2338548518096612,0.06565043317447626,0.20465114259426623
126,段位,DPSatellite Skill Analyzer sl1,12675,35.4798537091524,60.02674582706725,26.45259203066088,0.2077658487516202,0.05928669493465859,0.13100590746280943
127,段位,DPSatellite Skill Analyzer sl3,12677,18.25007854772748,63.375658581284384,32.85599476747155,0.03207958052390584,0.06483557494768326,0.4288265028056291
128,段位,DPSatellite Skill Analyzer sl4,12678,26.014347812899004,57.29264787804607,33.25026682323857,0.1142062740275954,0.07106190497001755,0.4538516564832262
129,段位,DPSatellite Skill Analyzer sl5,12679,27.76347048194221,62.40621090889482,47.71555589524938,0.151567694611022,0.07033115354544967,0.3544257393714964
130,段位,DPSatellite Skill Analyzer sl6,12680,37.89135195435182,63.27626037570992,41.91025417055261,0.06411944699790223,0.06520189179314756,0.44673779505878747
131,段位,DPSatellite Skill Analyzer sl7,12681,16.560500666260385,76.72199691651238,54.57343823990384,0.20894313330573522,0.05718964634898189,0.4299062846255333
132,段位,DPSatellite Skill Analyzer sl8,12682,47.98788698362347,73.67349170061736,53.448291054025326,0.1101277043122954,0.2976332568945704,0.4495162279775504
133,段位,DPSatellite Skill Analyzer sl9,12683,27.793900362708044,80.65331744647115,54.57400896425921,0.18094901534487712,0.24333419423356364,0.4264906455299437
134,段位,DPSatellite Skill Analyzer sl10,12684,39.59259022665529,71.18557442136304,51.01495443186237,0.05535963341278121,0.16724784004169707,0.4539954622390128
135,段位,DPSatellite Skill Analyzer sl11,12685,62.08588532542477,70.26577207208979,78.59531620936413,0.263048090891241,0.1879479093213101,0.33016616952331324
136,段位,DPSatellite Skill Analyzer sl12,12686,71.04960352258931,85.31465991452326,78.6217311663221,0.2411432592691254,0.2623863183134384,0.33222620915386714
137,段位,DPSatellite Skill Analyzer sl2,12688,19.703590376063342,60.71207251117068,55.64964525274635,0.22200804855822565,0.26849739223589153,0.2581047831037732
138,sl1,玉響サーチライト [DP ANOTHER],1273495bab9aa0561cdc7fa5f0fc9a50,7.80795131365561,29.25307949378576,22.528390140867856,0.22934438582816782,0.2885913876293348,0.3278419547279243
139,★★11,事象の地平 [平行世界：事件の崩壊],13137adcdf79c422e5725c7109e144ff,99.63765831152892,99.63765831152892,99.53530080341298,0.2753710761982983,0.2753710761982983,0.3463985540690688
140,★★10,永劫の沙漏 【algorithm】,1337ece34d90ced31890c67bca9106da,88.178104877001,95.44656013911066,94.0526706380499,0.2589659738621722,0.23537851967985335,0.31323824035089765
141,sl3,リリカと魔法の言葉 [DP Magical],1352e568f8b1d3214619f7ca9211c67f,20.61705113181813,39.45197367212302,26.204441374563963,0.11215817274584432,0.2064517243781855,0.3866166043362245
142,sl3,織姫 [dpinsane],137821b71aee5d8444e7fcc38cd5690c,23.54496744085621,41.282772977151474,38.503253942120914,0.09479099855235117,0.1703761327717986,0.2813755142866349
143,★★4,Her Majesty [Victoria],1418beaecc6933cd9e62bd1f88bb6f04,60.228482069676346,77.01352584493968,61.88742541648247,0.1918096421963688,0.3044513280385005,0.17079581763150298
144,sl8,Re:End of a Dream [DPH],143734dba02fd634d6a76c77509f8b85,34.19574834297127,55.12086756534184,50.61817326366064,0.15700182445915145,0.2520152433149308,0.3129680365486076
145,sl12,Cong＊Chu＊Jelly [DP-soijoy],143c4aeb8ecf90fea57b54afef73f66b,55.64174714009792,72.13863089937456,63.09674575540064,0.14979010827996955,0.26265695510898546,0.44142495011001404
146,sl6,トルコ行進曲 (Hd-NRG mix) [Double],144901283ee18aed261051dd0cd72713,35.1030388518952,51.77259933662849,47.44161006440741,0.24348139565416016,0.20691843747579075,0.15793302942062948
147,★5,Mirage Garden [EX14],146dcfe3ec5a51131850384a11dd3a82,25.265357002850017,51.62409006807733,61.07649461768814,0.09091622759651231,0.2296271365882181,0.2899095832858209
148,★2,瑠璃色小箱 [DP ANOTHER],1492a56c03f873dab9d1f2fe6cbfeb02,25.30218836444457,38.74523485313159,32.34500010501594,0.13734598510222126,0.24692326610276846,0.3244287319815388
149,★1,Goodbye to Your memory [DP ANOTHER],149c4290972aa0d408e57b82171f015f,22.826998589884795,33.03923554209191,17.692255844349795,0.25799641014576613,0.17322537961743795,0.3950147151918395
150,sl2,翼の折れた天使たちのレクイエム [DP Another],14a1172f13f22f8dd2e8bf5afa275a14,24.65873466554179,40.27045777952552,18.524846238073884,0.11866298993475376,0.20680906644746724,0.3026842192050518
